id;start_date;end_date;language
1;2019-06-09T02:43:44;2019-06-08T19:52:01;FRENCH
2;2019-06-09T04:13:49;2019-06-08T13:19:59;FRENCH
3;2019-06-08T23:45:54;2019-06-08T15:09:54;FRENCH
4;2019-06-08T12:57:45;2019-06-08T20:24:47;FRENCH
5;2019-06-08T21:56:24;2019-06-09T02:40:33;FRENCH
6;2019-06-09T04:13:25;2019-06-09T05:30:21;FRENCH
7;2019-06-08T13:35:44;2019-06-09T02:16:31;FRENCH
8;2019-06-08T11:07:03;2019-06-08T19:07:12;FRENCH
9;2019-06-08T20:55:09;2019-06-09T05:19:47;FRENCH
10;2019-06-09T00:13:19;2019-06-08T21:29:34;FRENCH
